run,accuracy,precision,recall,f1_score,roc_auc
0,0.8709753843966926,0.8062230957277295,0.8595321531100479,0.805498236475619,0.9886772630063199
1,0.865834300741548,0.8022806678452342,0.8550740909090908,0.7968902559584318,0.9870368920729387
2,0.8730602478144471,0.8080448711271432,0.8623356220095694,0.806538343066704,0.9885044548331464
3,0.8690800540169158,0.8041874845136107,0.8586190909090909,0.8032770904693491,0.9882282894977497
4,0.8634414461370797,0.7978341621152711,0.850825215311005,0.7966925327819299,0.987031974287943
5,0.866165983558009,0.8017257223535035,0.855394090909091,0.7982794062659042,0.9885012831201937
6,0.8704067852827596,0.8043002550244769,0.8580702153110048,0.8046465154003004,0.9880148373929437
7,0.8687483712004549,0.803519400368139,0.8572271531100478,0.8024332264825962,0.9874624022427939
8,0.8760217015328484,0.8119551472723152,0.8653706220095694,0.8112544501281406,0.9884881967991529
9,0.8704304769125069,0.8060678392506906,0.8595306220095693,0.8052286457503831,0.9883754120155706
