variant,accuracy,precision,recall,f1,roc_auc,train_time_sec,epochs_ran
Full Model,0.8744580539695326,0.8092194479579062,0.8630871531100478,0.8094093428300889,0.9889449834520285,307.1709015369415,51
MLP-NoFeatureSelect,0.8500556753299059,0.7904296751520258,0.8491814354066985,0.7855987854386176,0.9870502966343244,143.06492829322815,22
MLP-NoBatchNorm,0.8841005472766471,0.8198144410529876,0.8756944976076555,0.8191704182670001,0.9897305554812894,522.4580278396606,100
MLP-NoDropout,0.8705489350612429,0.820566516028397,0.8580102153110047,0.8022583676419334,0.9881176181388615,107.24788570404053,17
MLP-NoScheduler,0.8614039659788196,0.7952409029539499,0.8491286842105262,0.792273830513799,0.9867893581772395,228.78656721115112,38
