accuracy,precision,recall,f1,roc_auc,model,train_time_sec,epochs_ran
0.9895519912814803,0.9621408313510906,0.9779382775119616,0.9690892240163897,0.9994366502597838,Random Forest,5.838426351547241,
0.9890307754270417,0.9606004715142713,0.9675469617224881,0.9638526802006668,0.9997828205590082,XGBoost,13.46906566619873,
0.9161079390651283,0.8768722363154335,0.8423619138755981,0.8513112875964681,0.9927070175942692,Vanilla MLP,334.92790484428406,63.0
0.8744580539695326,0.8092194479579062,0.8630871531100478,0.8094093428300889,0.9889449834520285,CyberDetect-MLP,308.9541811943054,51.0
